國音第一式 	通用拼音 	國音第二式 	WG

a8 	ba 	ba 	pa
ai 	bo 	bo 	po
a9 	bai 	bai 	pai
ao 	bei 	bei 	pei
al 	bao 	bau 	pao
a0 	ban 	ban 	pan
ap 	ben 	ben 	pen
a; 	bang 	bang 	pang
a/ 	beng 	beng 	peng
au 	bi 	bi 	pi
au, 	bie 	bie 	pie
aul 	biao 	biau 	piao
au0 	bian 	bian 	pien
aup 	bin 	bin 	pin
au/ 	bing 	bing 	ping
aj 	bu 	bu 	pu
	
	
	
q8 	pa 	pa 	pa
qi 	po 	po 	po
q9 	pai 	pai 	pai
qo 	pei 	pei 	pei
ql 	pao 	pau 	pao
q. 	pou 	pou 	pou
q0 	pan 	pan 	pan
qp 	pen 	pen 	pen
q; 	pang 	pang 	pang
q/ 	peng 	peng 	peng
qu 	pi 	pi 	pi
qu, 	pie 	pie 	pieh
qul 	piao 	piau 	piao
qu0 	pian 	pian 	pien
qup 	pin 	pin 	pin
qu/ 	ping 	ping 	ping
qj 	pu 	pu 	pu
	
	
	
a8 	ma 	ma 	ma
ai 	mo 	mo 	mo
a9 	mai 	mai 	mai
ao 	mei 	mei 	mei
al 	mao 	mau 	mao
a. 	mou 	mou 	mou
a0 	man 	man 	man
ap 	men 	men 	men
a; 	mang 	mang 	mang
a/ 	meng 	meng 	meng
au 	mi 	mi 	mi
au, 	mie 	mie 	mieh
aul 	miao 	miau 	miao
au. 	miou 	miou 	miu
au0 	mian 	mian 	mien
aup 	min 	min 	min
au/ 	ming 	ming 	ming
aj 	mu 	mu 	mu
ak 	me 	- 	-
	
	
	
z8 	fa 	fa 	fa
zi 	fo 	fo 	fo
zo 	fei 	fei 	fei
z. 	fou 	fou 	fou
z0 	fan 	fan 	fan
zp 	fen 	fen 	fen
z; 	fang 	fang 	fang
z/ 	fong 	feng 	feng
zj 	fu 	fu 	fu
	
	
	
28 	da 	da 	ta
2k 	de 	de 	te
29 	dai 	dai 	tai
2o 	dei 	dei 	tei
2l 	dao 	dau 	tao
2. 	dou 	dou 	tou
20 	dan 	dan 	tan
2; 	dang 	dang 	tang
2/ 	deng 	deng 	teng
2u 	di 	di 	ti
2u, 	die 	die 	tieh
2ul 	diao 	diau 	tiao
2u. 	diou 	diou 	tiu
2u0 	dian 	dian 	tien
2u; 	diang 	-　 	-
2u/ 	ding 	ding 	ting
2j 	du 	du 	tu
2ji 	duo 	duo 	to
2jo 	duei 	duei 	tui
2j0 	duan 	duan 	tuan
2jp 	dun 	duen 	tun
2j/ 	dong 	dung 	tung
	
	
	
w8 	ta 	ta 	ta
wk 	te 	te 	te
w9 	tai 	tai 	tai
wl 	tao 	tau 	tao
w. 	tou 	tou 	tou
w0 	tan 	tan 	tan
w; 	tang 	tang 	tang
w/ 	teng 	teng 	teng
wu 	ti 	ti 	ti
wu, 	tie 	tie 	tieh
wul 	tiao 	tiau 	tiao
wu0 	tian 	tian 	tien
wu/ 	ting 	ting 	ting
wj 	tu 	tu 	tu
wji 	tuo 	tuo 	to
wjo 	tuei 	tuei 	tui
wj0 	tuan 	tuan 	tuan
wjp 	tun 	tuen 	tun
wj/ 	tong 	tung 	tung
	
	
	
s8 	na 	na 	na
sk 	ne 	- 	-
s9 	nai 	nai 	nai
so 	nei 	nei 	nei
sl 	nao 	nau 	nao
s. 	- 	nou 	nou
s0 	nan 	nan 	nan
sp 	nen 	nen 	nen
s; 	nang 	nang 	nang
s/ 	neng 	neng 	neng
su 	ni 	ni 	ni
su, 	nie 	nie 	nieh
sul 	niao 	niau 	niao
su. 	niou 	niou 	niu
su0 	nian 	nian 	nien
sup 	nin 	nin 	nin
su; 	niang 	niang 	niang
su/ 	ning 	ning 	ning
sj 	nu 	nu 	nu
sji 	nuo 	nuo 	no
sj0 	nuan 	nuan 	nuan
sjp 	- 	nuen 	nun
sj/ 	nong 	nung 	nung
sm 	nyu 	niu 	nu
sm, 	nyue 	niue 	nueh
	
	
	
x8 	la 	la 	la
xi 	lo 	- 	-
xk 	le　 	le 	le
x9 	lai 	lai 	lai
xo 	lei 	lei 	lei
xl 	lao 	lau 	lao
x. 	lou 	lou 	lou
x0 	lan 	lan 	lan
x; 	lang 	lang 	lang
x/ 	leng 	leng 	leng
xu 	li 	li 	li
xu8 	lia 	lia 	lia
xu, 	lie 	lie 	lieh
xul 	liao 	liau 	liao
xu. 	liou 	liou 	liu
xu0 	lian 	lian 	lien
xup 	lin 	lin 	lin
xu; 	liang 	liang 	liang
xu/ 	ling 	ling 	ling
xj 	lu 	lu 	lu
xji 	luo 	luo 	lo
xj0 	luan 	luan 	luan
xjp 	lun 	luen 	lun
xj/ 	long 	lung 	lung
xm 	lyu 	liu 	lu
xm, 	lyue 	liue 	lueh
xm0 	- 	liuan 	luan
	
	
	
e8 	ga 	ga 	ka
ek 	ge 	ge 	ke,ko
e9 	gai 	gai 	kai
eo 	gei 	gei 	kei
el 	gao 	gau 	kao
e. 	gou 	gou 	kou
e0 	gan 	gan 	kan
ep 	gen 	gen 	ken
e; 	gang 	gang 	kang
e/ 	geng 	geng 	keng
ej 	gu 	gu 	ku
ej8 	gua 	gua 	kua
eji 	guo 	guo 	kuo
ej9 	guai 	guai 	kuai
ejo 	guei 	guei 	kuei
ej0 	guan 	guan 	kuan
ejp 	gun 	guen 	kun
ej; 	guang 	guang 	kuang
ej/ 	gong 	gung 	kung
	
	
	
d8 	ka 	ka 	ka
dk 	ke 	ke 	ke,ko
d9 	kai 	kai 	kai
dl 	kao 	kau 	kao
d. 	kou 	kou 	kou
d0 	kan 	kan 	kan
dp 	ken 	ken 	ken
d; 	kang 	kang 	kang
d/ 	keng 	keng 	keng
dj 	ku 	ku 	ku
dj8 	kua 	kua 	kua
